artist         num_plays
Red Velvet          19409
TWICE          7622
fromis_9          4885
Girls' Generation          3025
STAYC          2898
LOONA          2855
Brave Girls          2712
WJSN          2689
aespa          2442
ITZY          2354
GFRIEND          2236
BLACKPINK          2173
IZ*ONE          2090
EVERGLOW          1969
OH MY GIRL          1928
Apink          1710
TAEYEON          1589
EXID          1581
MOMOLAND          1524
CLC          1477
AOA          1469
f(x)          1462
LE SSERAFIM          1411
LOONA/yyxy          1374
UNI.T          1315
Cherry Bullet          1276
I.O.I          1253
IVE          1223
9MUSES          1164
CHUNG HA          1121
Weki Meki          1055
EXO          1034
Kep1er          955
Red Velvet - IRENE & SEULGI          948
gugudan          944
Girl's Day          941
NCT 127          901
Taylor Swift          867
LOOΠΔ / ODD EYE CIRCLE          850
SUNMI          789
Lovelyz          725
Mariah Carey          703
Weeekly          692
KARA          680
Yubin          678
IU          670
Ariana Grande          655
DIA          653
Stray Kids          629
SEULGI          621
Rocket Punch          584
NewJeans          571
Clean Bandit          547
Hyolyn          523
(G)I-DLE          511
Dalshabet          497
APRIL          494
BESTie          487
Stellar          483
TREASURE          474
PRISTIN V          460
PRISTIN          442
Chris Brown          434
ENHYPEN          413
NIKI          407
BTS          406
SHINee          401
Dua Lipa          396
The Pussycat Dolls          392
JEON SOMI          380
T-ARA          374
LIGHTSUM          357
SEVENTEEN          355
JO YURI          351
NAYEON          340
NMIXX          316
Saweetie          316
SECRET NUMBER          313
PRODUCE 48          309
Katy Perry          306
TOMORROW X TOGETHER          305
Girls' Generation-Oh!GG          289
GOT the beat          287
SISTAR          284
Olivia Rodrigo          280
After School          274
VIVIZ          271
Doja Cat          267
Rina Sawayama          261
Orange Caramel          258
Britney Spears          255
MAMAMOO          255
Ne-Yo          254
Jay Park          252
Billlie          249
Kesha          249
NCT DREAM          244
GOT7          243
JENNIE          225
WINNER          222
Drake          220
Todrick Hall          218
Rihanna          212
KARD          206
Apink CHOBOM          206
DEAN          204
Usher          199
BIGBANG          195
SONAMOO          193
Phineas and the Ferbtones          191
WJSN Chocome          186
NiziU          184
JOY          177
The Weeknd          175
ALICE          173
iKON          168
Memory Fabricators          166
Love Potion          163
YENA          162
1AM          159
2NE1          159
PURPLE KISS          157
Cobra Starship          154
Black Eyed Peas          150
Bruno Mars          149
Kim Petras          149
Zedd          147
HyunA          147
YUKIKA          146
H.I.N.P (Hot Issue of Ntl. Producers)          145
KHAN          141
Fergie          139
ROSÉ          138
The Promise          135
BoA          133
Nelly          133
KWON EUN BI          131
Shawn Mendes          131
Soulja Boy          128
Jeremih          128
Pitbull          127
Hwa Sa          126
SummerWish          125
HELLOVENUS          124
XG          123
NATURE          120
LANY          118
Janet Jackson          118
Wanna One          116
RAINBOW          116
Dawin          115
Lenra          114
Little Mix          112
Fei          111
S.E.S.          111
Beyoncé          111
Lady Gaga          110
The Chainsmokers          109
Unicorn          108
Knock          103
No Rome          101
Haworth in White          100
Post Malone          99
Cash Cash          98
OH MY GIRL BANHANA          97
Destiny's Child          97
NATTY          95
