song, artist         num_plays
Bad Boy          3158
러시안 룰렛 Russian Roulette          1134
Zimzalabim          894
Umpah Umpah          863
Feel My Rhythm          809
Power Up          689
Red Flavor          591
Rookie          499
Psycho          446
Queendom          409
You Better Know          374
Peek-A-Boo          350
RBB (Really Bad Boy)          290
Butterflies          280
Hello, Sunset          260
Beg For Me          230
Dumb Dumb          229
Automatic          217
Some Love          212
Look          210
Rainbow Halo          208
Ice Cream Cake          202
In & Out          186
Eyes Locked, Hands Locked          181
Zoo          176
Blue Lemonade          167
행복 (Happiness)          158
Pose          150
Ladies Night          145
Carpool          139
Fool          137
Lucky Girl          135
In My Dreams          129
Knock On Wood          125
BAMBOLEO          124
7월 7일 One Of These Nights          118
Pushin' N Pullin'          116
Sunny Afternoon          115
Somethin Kinda Crazy          114
Better Be          113
처음인가요 First Time          112
I Just          111
Taste          110
With You          109
Future          108
All Right          107
Bad Dracula          106
My Dear          106
Sunny Side Up!          103
Kingdom Come          103
SAPPY          91
Little Little          91
Swimming Pool          87
About Love          87
Mojito          87
Bad Boy - English Version, Bonus Track          82
Cool World          82
Love Is The Way          82
My Second Date          81
LP          81
Perfect 10          79
Time To Love          76
Cool Hot Sweet Love          74
So Good          74
Remember Forever          73
Light Me Up          70
Red Dress          66
Time Slip          63
Milkshake          62
Talk To Me          62
Hear The Sea          61
Moonlight Melody          59
Attaboy          59
Happily Ever After          59
Sassy Me          56
Oh Boy          55
WILDSIDE          55
Hit That Drum          54
장미꽃 향기는 바람에 날리고 Rose Scent Breeze          54
Lady's Room          52
Jumpin’          51
Take It Slow          50
Day 1          50
Campfire          49
Mr. E          48
Bing Bing          46
Body Talk          46
Russian Roulette          44
사탕 (Candy)          43
Huff n Puff          42
Parade          41
Mosquito          40
7월 7일 One Of These Nights - De-Capo Version          36
마지막 사랑 Last Love          36
Don't U Wait No More          34
7월 7일 One Of These Nights - Piano Version          32
7월 7일 One Of These Nights - Joe Millionaire Version          32
#Cookie Jar          32
Good, Bad, Ugly          31
Stupid Cupid          31
Jumpin'          29
RBB (Really Bad Boy) - English Version          28
Sayonara          28
Rebirth          23
Be Natural          21
Aitai-tai          19
Would U          19
Power Up - Japanese Ver.          17
세가지 소원 Wish Tree          16
La Rouge - Special Track          15
See the stars          14
Peek-A-Boo - Japanese Version          12
Cause it's you          9
Rebirth - Instrumental          8
Would U - Instrumental          8
Power Up - Japanese Version          8
Rookie - Japanese Version          8
Yossism (Music from Telemonster)          8
어떤 별보다          6
Jackpot          6
Marionette          4
See the stars (Instrumental)          4
Milky Way          4
너에게 원한건          3
어떤 별보다 - Instrumental          2
Snap Snap          2
'Cause it's you          2
Be Natural (feat. SR14B 'TAEYONG (태용)')          1
