song, artist         num_plays
RUN2U, STAYC          961
Bad Boy, Red Velvet          861
Feel My Rhythm, Red Velvet          809
INVU, TAEYEON          549
LOVE DIVE, IVE          514
Up!, Kep1er          391
After LIKE, IVE          385
FOREVER 1, Girls' Generation          369
DM, fromis_9          330
Talk that Talk, TWICE          327
FANCY, TWICE          324
ELEVEN, IVE          314
LOVE BOMB, fromis_9          309
Blue Flame, LE SSERAFIM          303
Boogie Up, WJSN          301
Step Back, GOT the beat          287
The Great Mermaid, LE SSERAFIM          282
Hype Boy, NewJeans          261
CHIQUITA, Rocket Punch          258
This Hell, Rina Sawayama          256
WA DA DA, Kep1er          254
Sour Grapes, LE SSERAFIM          247
Closer (feat. H.E.R.), Saweetie          243
Hi High, LOONA          239
Dreams Come True, aespa          236
Beg For Me, Red Velvet          230
La La Love, WJSN          226
FEARLESS, LE SSERAFIM          225
ALIVE, LIGHTSUM          224
O.O, NMIXX          211
Rainbow Halo, Red Velvet          208
Copycat, Apink CHOBOM          204
Unknown Track, Unknown Artist          192
DARARI, TREASURE          165
BEAUTIFUL MONSTER, STAYC          164
BOP BOP!, VIVIZ          162
Last Sequence, WJSN          160
Zig Zag, Weeekly          159
I mean, UNI.T          158
GingaMingaYo (the strange world), Billlie          151
Coconuts, Kim Petras          148
Thank You, Brave Girls          146
Power Up, Red Velvet          145
Cookie, NewJeans          145
Love Shhh!, JO YURI          143
You and I, Brave Girls          141
Savage, aespa          137
ANTIFRAGILE, LE SSERAFIM          135
Real Love, OH MY GIRL          134
Attention, NewJeans          133
MVSK, Kep1er          132
FINGERTIP, GFRIEND          131
Pink Venom, BLACKPINK          131
In My Dreams, Red Velvet          129
Illusion, aespa          128
Pirate, EVERGLOW          126
SEE SEA, Hyolyn          125
SLOW DOWN, STAYC          124
BAMBOLEO, Red Velvet          124
MASCARA, XG          122
Love Options, BESTie          120
Whistle, Brave Girls          118
Stay This Way, fromis_9          117
Done, WJSN          117
The Boys, Girls' Generation          115
Dilemma, Apink          115
SMILEY(Feat. BIBI), YENA          111
Girls, aespa          111
NO PROBLEM (Feat. Felix of Stray Kids), NAYEON          109
Get It, PRISTIN V          108
